UsiaKelompok Usia
Usia      Kelompok Usia       
59        Tua                 
79        Tua                 
17        Pemuda              
14        Remaja              
46        Dewasa              
54        Dewasa              
77        Tua                 
51        Dewasa              
73        Tua                 
58        Tua                 
40        Dewasa              
51        Dewasa              
15        Remaja              
51        Dewasa              
25        Dewasa              
69        Tua                 
69        Tua                 
39        Dewasa              
32        Dewasa              
78        Tua                 
45        Dewasa              
1         Balita              
20        Pemuda              
80        Tua                 
75        Tua                 
15        Remaja              
59        Tua                 
20        Pemuda              
3         Balita              
8         Kanak-kanak         
29        Dewasa              
25        Dewasa              
49        Dewasa              
71        Tua                 
14        Remaja              
12        Remaja              
77        Tua                 
3         Balita              
20        Pemuda              
58        Tua                 
9         Kanak-kanak         
61        Tua                 
1         Balita              
65        Tua                 
28        Dewasa              
43        Dewasa              
9         Kanak-kanak         
44        Dewasa              
45        Dewasa              
50        Dewasa              
2         Balita              
26        Dewasa              
22        Pemuda              
32        Dewasa              
74        Tua                 
35        Dewasa              
32        Dewasa              
56        Tua                 
8         Kanak-kanak         
24        Dewasa              
18        Pemuda              
59        Tua                 
54        Dewasa              
78        Tua                 
79        Tua                 
42        Dewasa              
64        Tua                 
52        Dewasa              
1         Balita              
73        Tua                 
32        Dewasa              
43        Dewasa              
77        Tua                 
15        Remaja              
1         Balita              
57        Tua                 
24        Dewasa              
25        Dewasa              
71        Tua                 
20        Pemuda              
29        Dewasa              
19        Pemuda              
44        Dewasa              
24        Dewasa              
54        Dewasa              
70        Tua                 
21        Pemuda              
8         Kanak-kanak         
64        Tua                 
77        Tua                 
11        Kanak-kanak         
16        Remaja              
66        Tua                 
52        Dewasa              
78        Tua                 
46        Dewasa              
15        Remaja              
80        Tua                 
16        Remaja              
34        Dewasa              
